epoch,loss,precision,recall,f1,accuracy,auc,aupr,mcc,TP,TN,FP,FN,current_lr,aux_loss
43,0.5428655433758482,0.9965287821810819,0.9988402435488547,0.9976831740515494,0.9976803189561435,0.9999709724579703,0.9999708926866926,0.9953633150975701,6890,6873,24,8,0.00025,0.39332363272580645
44,0.5428718892030415,0.996672935049906,0.9988402435488547,0.9977554123524727,0.9977528089887641,0.9998461182945694,0.9998159959966517,0.9955079712889908,6890,6874,23,8,0.00025,0.3932146259041887
45,0.5412838620005763,0.9960971379011275,0.9989852131052479,0.9975390851187029,0.9975353388909025,0.9999628800584905,0.9999618542503098,0.9950748598697357,6891,6870,27,7,0.00025,0.393099945404794
46,0.5412031742402201,0.9963862387973402,0.9992751522180342,0.9978286045165026,0.9978252990213845,0.9999558176007629,0.9999546982164262,0.9956547826935531,6893,6872,25,5,0.00025,0.39303048174577143
47,0.5401481168086048,0.996675339693553,0.9995650913308205,0.9981181239143022,0.9981152591518666,0.999984498325672,0.9999844633530692,0.9962347055173705,6895,6874,23,3,0.00025,0.3930814306984542
48,0.5401548728384631,0.9966748590429377,0.9994201217744274,0.9980456026058632,0.998042769119246,0.999965801729991,0.999965243850351,0.9960893165770652,6894,6874,23,4,0.00025,0.39295858047764864
49,0.5386199303795005,0.9963872832369942,0.9995650913308205,0.9979736575481256,0.9979702790866256,0.9999244148869378,0.9999162586064312,0.9959456232564856,6895,6872,25,3,0.00025,0.39292658874255326
50,0.5395340261791184,0.9963862387973402,0.9992751522180342,0.9978286045165026,0.9978252990213845,0.9998756082594266,0.9998653819176659,0.9956547826935531,6893,6872,25,5,0.00025,0.3928650120541525
51,0.5399586444490412,0.9968180503326584,0.9991301826616411,0.9979727772951057,0.9979702790866256,0.9999565742926623,0.9999556344845899,0.9959432370193568,6892,6875,22,6,0.00025,0.39289606506501135
52,0.5374718629912044,0.9972527472527473,0.9998550304436068,0.9985521934269581,0.9985501993475897,0.9998902796745872,0.9998543837744408,0.9971037933901343,6897,6878,19,1,0.00025,0.39271915586780715
53,0.5376815680145742,0.9961005199306759,0.9998550304436068,0.9979742439589061,0.9979702790866256,0.9999499112001037,0.9999479035171979,0.9959476327778556,6897,6870,27,1,0.00025,0.39269132321813194
54,0.5367815104460708,0.9973973395026027,1.0,0.9986969740842624,0.9986951794128307,0.9999642883461922,0.9999629795135796,0.9973937545643454,6898,6879,18,0,0.00025,0.392656815715631
55,0.5314460687509435,0.9971089910378722,1.0,0.9985524030110018,0.9985501993475897,0.9999803680490544,0.9999801320133149,0.9971045897530966,6898,6877,20,0,0.000125,0.39227798353196075
56,0.5263137108737811,0.9972527472527473,0.9998550304436068,0.9985521934269581,0.9985501993475897,0.9999806412989071,0.999980118609236,0.9971037933901343,6897,6878,19,1,0.000125,0.39187808430171367
57,0.5253100291418399,0.9972527472527473,0.9998550304436068,0.9985521934269581,0.9985501993475897,0.9999891961212142,0.999989118614377,0.9971037933901343,6897,6878,19,1,0.000125,0.391773879867656
58,0.5254495927586682,0.9972527472527473,0.9998550304436068,0.9985521934269581,0.9985501993475897,0.999986589738005,0.9999864684134735,0.9971037933901343,6897,6878,19,1,0.000125,0.39178567057094005
59,0.5243785524592964,0.9978298611111112,0.9998550304436068,0.9988414192614048,0.9988401594780718,0.9999956280023591,0.9999956236197891,0.9976823737148448,6897,6882,15,1,0.000125,0.3917902376073919
60,0.5253140458943145,0.9979736575481256,0.9995650913308205,0.9987687404939524,0.9987676694454513,0.9999843196623069,0.9999840793285446,0.997536607124299,6895,6883,14,3,0.000125,0.39179570000464775
61,0.5246495160818013,0.9979745370370371,1.0,0.9989862418537292,0.9989851395433128,0.999992433081006,0.9999924065956283,0.9979723344867999,6898,6883,14,0,0.000125,0.3917148800977533
62,0.5205445722895888,0.9985513544835579,0.9992751522180342,0.998913122237519,0.9989126495106923,0.9999951865987511,0.9999951794042905,0.9978255610646741,6893,6887,10,5,6.25e-05,0.39151244797463347
63,0.5171447460787069,0.9976855200347172,0.9998550304436068,0.9987690970965173,0.9987676694454513,0.9999965948864526,0.9999965921829068,0.9975376973326283,6897,6881,16,1,6.25e-05,0.3913625370645333
64,0.5175459653625198,0.9978298611111112,0.9998550304436068,0.9988414192614048,0.9988401594780718,0.9999895534479444,0.9999894431868613,0.9976823737148448,6897,6882,15,1,6.25e-05,0.39134242795232244
65,0.5176713883250292,0.9979742439589061,0.9998550304436068,0.9989137519009341,0.9989126495106923,0.9999971624053772,0.9999971614079384,0.9978270709795561,6897,6883,14,1,6.25e-05,0.3913121273980117
